service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
259803_merged_13592007,20230626,20230903,0,0,0,0,0,0,0
1101_merged_13592010,20230626,20230903,0,0,0,0,0,0,0
1803_merged_13591992,20230417,20230625,0,0,0,0,0,0,0
62201,20230417,20230625,0,0,0,0,0,0,0
259802_merged_13591989,20230417,20230625,0,0,0,0,0,0,0
152301_merged_13591987,20230417,20230625,0,0,0,0,0,0,0
701,20230417,20230625,0,0,0,0,0,0,0
253403_merged_13591999,20230626,20230903,0,0,0,0,0,0,0
59001,20230417,20230625,0,0,0,0,0,0,0
118401,20230626,20230903,0,0,0,0,0,0,0
152201_merged_13592003,20230626,20230903,0,0,0,0,0,0,0
HD_merged_13591981,20230417,20230625,1,1,1,1,1,1,1
59101,20230417,20230625,0,0,0,0,0,0,0
152201_merged_13591986,20230417,20230625,0,0,0,0,0,0,0
118403,20230626,20230903,0,0,0,0,0,0,0
162503_merged_13592005,20230626,20230903,0,0,0,0,0,0,0
259801_merged_13591991,20230417,20230625,0,0,0,0,0,0,0
1_merged_13591983,20230417,20230625,1,1,1,1,1,0,0
HD_merged_13591998,20230626,20230903,1,1,1,1,1,1,1
162601_merged_13591997,20230626,20230903,0,0,0,0,0,0,0
62101,20230417,20230625,0,0,0,0,0,0,0
152301_merged_13592004,20230626,20230903,0,0,0,0,0,0,0
1201_merged_13591996,20230626,20230903,0,0,0,0,0,0,0
155302,20230626,20230903,0,0,0,0,0,0,0
155303,20230626,20230903,0,0,0,0,0,0,0
2_merged_13591985,20230417,20230625,0,0,0,0,0,1,0
3_merged_13592001,20230626,20230903,0,0,0,0,0,0,1
155203,20230626,20230903,0,0,0,0,0,0,0
1901,20230417,20230625,0,0,0,0,0,0,0
75401,20230417,20230625,0,0,0,0,0,0,0
253403_merged_13591982,20230417,20230625,0,0,0,0,0,0,0
1101_merged_13591993,20230417,20230625,0,0,0,0,0,0,0
155202,20230626,20230903,0,0,0,0,0,0,0
1201_merged_13591979,20230417,20230625,0,0,0,0,0,0,0
32603_merged_13591995,20230626,20230903,0,0,0,0,0,0,0
3_merged_13591984,20230417,20230625,0,0,0,0,0,0,1
155601_merged_13592011,20230626,20230903,0,0,0,0,0,0,0
118402,20230626,20230903,0,0,0,0,0,0,0
101,20230417,20230625,0,0,0,0,0,0,0
75301,20230417,20230625,0,0,0,0,0,0,0
259803_merged_13591990,20230417,20230625,0,0,0,0,0,0,0
1803_merged_13592009,20230626,20230903,0,0,0,0,0,0,0
201,20230626,20230903,0,0,0,0,0,0,0
162503_merged_13591988,20230417,20230625,0,0,0,0,0,0,0
1_merged_13592000,20230626,20230903,1,1,1,1,1,0,0
162601_merged_13591980,20230417,20230625,0,0,0,0,0,0,0
169801,20230626,20230903,0,0,0,0,0,0,0
259802_merged_13592006,20230626,20230903,0,0,0,0,0,0,0
259801_merged_13592008,20230626,20230903,0,0,0,0,0,0,0
32603_merged_13591978,20230417,20230625,0,0,0,0,0,0,0
2001,20230417,20230625,0,0,0,0,0,0,0
155601_merged_13591994,20230417,20230625,0,0,0,0,0,0,0
801,20230417,20230625,0,0,0,0,0,0,0
2_merged_13592002,20230626,20230903,0,0,0,0,0,1,0
63901,20230417,20230625,0,0,0,0,0,0,0
