service_id,date,exception_type
259803_merged_13592007,20230716,1
259803_merged_13592007,20230701,1
259803_merged_13592007,20230702,1
259803_merged_13592007,20230820,1
259803_merged_13592007,20230709,1
259803_merged_13592007,20230827,1
259803_merged_13592007,20230813,1
259803_merged_13592007,20230807,1
259803_merged_13592007,20230806,1
259803_merged_13592007,20230723,1
259803_merged_13592007,20230903,1
259803_merged_13592007,20230730,1
1101_merged_13592010,20230627,1
1101_merged_13592010,20230626,1
1101_merged_13592010,20230706,1
1101_merged_13592010,20230816,1
1101_merged_13592010,20230703,1
1101_merged_13592010,20230821,1
1101_merged_13592010,20230823,1
1101_merged_13592010,20230822,1
1101_merged_13592010,20230824,1
1101_merged_13592010,20230629,1
1101_merged_13592010,20230628,1
1101_merged_13592010,20230705,1
1101_merged_13592010,20230802,1
1101_merged_13592010,20230801,1
1101_merged_13592010,20230809,1
1101_merged_13592010,20230808,1
1101_merged_13592010,20230731,1
1101_merged_13592010,20230717,1
1101_merged_13592010,20230713,1
1101_merged_13592010,20230712,1
1101_merged_13592010,20230711,1
1101_merged_13592010,20230710,1
1101_merged_13592010,20230829,1
1101_merged_13592010,20230718,1
1101_merged_13592010,20230810,1
1101_merged_13592010,20230814,1
1101_merged_13592010,20230719,1
1101_merged_13592010,20230830,1
1101_merged_13592010,20230817,1
1101_merged_13592010,20230803,1
1101_merged_13592010,20230828,1
1101_merged_13592010,20230831,1
1101_merged_13592010,20230704,1
1101_merged_13592010,20230720,1
1101_merged_13592010,20230725,1
1101_merged_13592010,20230726,1
1101_merged_13592010,20230727,1
1101_merged_13592010,20230724,1
1101_merged_13592010,20230815,1
1803_merged_13591992,20230521,1
62201,20230426,1
62201,20230419,1
62201,20230621,1
62201,20230510,1
62201,20230517,1
62201,20230531,1
62201,20230524,1
62201,20230503,1
62201,20230607,1
62201,20230614,1
259802_merged_13591989,20230506,1
259802_merged_13591989,20230624,1
259802_merged_13591989,20230422,1
259802_merged_13591989,20230513,1
259802_merged_13591989,20230429,1
259802_merged_13591989,20230520,1
259802_merged_13591989,20230527,1
259802_merged_13591989,20230610,1
259802_merged_13591989,20230617,1
259802_merged_13591989,20230603,1
152301_merged_13591987,20230519,1
152301_merged_13591987,20230421,1
152301_merged_13591987,20230512,1
152301_merged_13591987,20230428,1
152301_merged_13591987,20230505,1
152301_merged_13591987,20230609,1
152301_merged_13591987,20230526,1
152301_merged_13591987,20230623,1
152301_merged_13591987,20230616,1
152301_merged_13591987,20230602,1
701,20230519,1
701,20230421,1
701,20230512,1
701,20230428,1
701,20230505,1
701,20230609,1
701,20230526,1
701,20230623,1
701,20230616,1
701,20230602,1
253403_merged_13591999,20230716,1
253403_merged_13591999,20230702,1
253403_merged_13591999,20230820,1
253403_merged_13591999,20230709,1
253403_merged_13591999,20230827,1
253403_merged_13591999,20230813,1
253403_merged_13591999,20230806,1
253403_merged_13591999,20230723,1
253403_merged_13591999,20230903,1
253403_merged_13591999,20230730,1
59001,20230503,1
59001,20230623,1
59001,20230622,1
59001,20230621,1
59001,20230620,1
59001,20230519,1
59001,20230518,1
59001,20230418,1
59001,20230419,1
59001,20230511,1
59001,20230510,1
59001,20230512,1
59001,20230517,1
59001,20230516,1
59001,20230531,1
59001,20230530,1
59001,20230613,1
59001,20230616,1
59001,20230614,1
59001,20230615,1
59001,20230524,1
59001,20230505,1
59001,20230509,1
59001,20230525,1
59001,20230425,1
59001,20230427,1
59001,20230426,1
59001,20230421,1
59001,20230420,1
59001,20230428,1
59001,20230504,1
59001,20230523,1
59001,20230502,1
59001,20230608,1
59001,20230526,1
59001,20230609,1
59001,20230607,1
59001,20230606,1
59001,20230601,1
59001,20230602,1
118401,20230707,1
118401,20230630,1
118401,20230825,1
118401,20230721,1
118401,20230811,1
118401,20230728,1
118401,20230714,1
118401,20230804,1
118401,20230818,1
118401,20230901,1
152201_merged_13592003,20230627,1
152201_merged_13592003,20230626,1
152201_merged_13592003,20230706,1
152201_merged_13592003,20230816,1
152201_merged_13592003,20230703,1
152201_merged_13592003,20230821,1
152201_merged_13592003,20230823,1
152201_merged_13592003,20230822,1
152201_merged_13592003,20230824,1
152201_merged_13592003,20230629,1
152201_merged_13592003,20230628,1
152201_merged_13592003,20230705,1
152201_merged_13592003,20230802,1
152201_merged_13592003,20230801,1
152201_merged_13592003,20230809,1
152201_merged_13592003,20230808,1
152201_merged_13592003,20230731,1
152201_merged_13592003,20230717,1
152201_merged_13592003,20230713,1
152201_merged_13592003,20230712,1
152201_merged_13592003,20230711,1
152201_merged_13592003,20230710,1
152201_merged_13592003,20230829,1
152201_merged_13592003,20230718,1
152201_merged_13592003,20230810,1
152201_merged_13592003,20230814,1
152201_merged_13592003,20230719,1
152201_merged_13592003,20230830,1
152201_merged_13592003,20230817,1
152201_merged_13592003,20230803,1
152201_merged_13592003,20230828,1
152201_merged_13592003,20230831,1
152201_merged_13592003,20230704,1
152201_merged_13592003,20230720,1
152201_merged_13592003,20230725,1
152201_merged_13592003,20230726,1
152201_merged_13592003,20230727,1
152201_merged_13592003,20230724,1
152201_merged_13592003,20230815,1
59101,20230424,1
59101,20230417,1
59101,20230515,1
59101,20230605,1
59101,20230619,1
59101,20230501,1
59101,20230612,1
59101,20230529,1
59101,20230508,1
152201_merged_13591986,20230503,1
152201_merged_13591986,20230622,1
152201_merged_13591986,20230621,1
152201_merged_13591986,20230620,1
152201_merged_13591986,20230518,1
152201_merged_13591986,20230418,1
152201_merged_13591986,20230419,1
152201_merged_13591986,20230511,1
152201_merged_13591986,20230510,1
152201_merged_13591986,20230417,1
152201_merged_13591986,20230515,1
152201_merged_13591986,20230517,1
152201_merged_13591986,20230516,1
152201_merged_13591986,20230531,1
152201_merged_13591986,20230530,1
152201_merged_13591986,20230612,1
152201_merged_13591986,20230613,1
152201_merged_13591986,20230614,1
152201_merged_13591986,20230615,1
152201_merged_13591986,20230619,1
152201_merged_13591986,20230525,1
152201_merged_13591986,20230425,1
152201_merged_13591986,20230424,1
152201_merged_13591986,20230427,1
152201_merged_13591986,20230426,1
152201_merged_13591986,20230502,1
152201_merged_13591986,20230420,1
152201_merged_13591986,20230504,1
152201_merged_13591986,20230523,1
152201_merged_13591986,20230524,1
152201_merged_13591986,20230608,1
152201_merged_13591986,20230501,1
152201_merged_13591986,20230605,1
152201_merged_13591986,20230529,1
152201_merged_13591986,20230607,1
152201_merged_13591986,20230606,1
152201_merged_13591986,20230601,1
152201_merged_13591986,20230508,1
152201_merged_13591986,20230509,1
118403,20230716,1
118403,20230701,1
118403,20230702,1
118403,20230820,1
118403,20230709,1
118403,20230827,1
118403,20230813,1
118403,20230807,1
118403,20230806,1
118403,20230723,1
118403,20230903,1
118403,20230730,1
162503_merged_13592005,20230807,1
162503_merged_13592005,20230701,1
259801_merged_13591991,20230417,1
259801_merged_13591991,20230623,1
259801_merged_13591991,20230622,1
259801_merged_13591991,20230621,1
259801_merged_13591991,20230620,1
259801_merged_13591991,20230519,1
259801_merged_13591991,20230418,1
259801_merged_13591991,20230419,1
259801_merged_13591991,20230511,1
259801_merged_13591991,20230510,1
259801_merged_13591991,20230512,1
259801_merged_13591991,20230515,1
259801_merged_13591991,20230517,1
259801_merged_13591991,20230516,1
259801_merged_13591991,20230531,1
259801_merged_13591991,20230530,1
259801_merged_13591991,20230612,1
259801_merged_13591991,20230524,1
259801_merged_13591991,20230616,1
259801_merged_13591991,20230614,1
259801_merged_13591991,20230615,1
259801_merged_13591991,20230505,1
259801_merged_13591991,20230619,1
259801_merged_13591991,20230509,1
259801_merged_13591991,20230613,1
259801_merged_13591991,20230607,1
259801_merged_13591991,20230525,1
259801_merged_13591991,20230425,1
259801_merged_13591991,20230424,1
259801_merged_13591991,20230427,1
259801_merged_13591991,20230426,1
259801_merged_13591991,20230421,1
259801_merged_13591991,20230420,1
259801_merged_13591991,20230502,1
259801_merged_13591991,20230428,1
259801_merged_13591991,20230504,1
259801_merged_13591991,20230523,1
259801_merged_13591991,20230609,1
259801_merged_13591991,20230608,1
259801_merged_13591991,20230526,1
259801_merged_13591991,20230501,1
259801_merged_13591991,20230605,1
259801_merged_13591991,20230529,1
259801_merged_13591991,20230503,1
259801_merged_13591991,20230606,1
259801_merged_13591991,20230601,1
259801_merged_13591991,20230508,1
259801_merged_13591991,20230602,1
1_merged_13591983,20230522,2
162601_merged_13591997,20230707,1
162601_merged_13591997,20230630,1
162601_merged_13591997,20230825,1
162601_merged_13591997,20230721,1
162601_merged_13591997,20230811,1
162601_merged_13591997,20230728,1
162601_merged_13591997,20230714,1
162601_merged_13591997,20230804,1
162601_merged_13591997,20230818,1
162601_merged_13591997,20230901,1
62101,20230512,1
62101,20230623,1
62101,20230622,1
62101,20230620,1
62101,20230519,1
62101,20230518,1
62101,20230418,1
62101,20230511,1
62101,20230417,1
62101,20230515,1
62101,20230516,1
62101,20230530,1
62101,20230612,1
62101,20230613,1
62101,20230616,1
62101,20230615,1
62101,20230505,1
62101,20230619,1
62101,20230509,1
62101,20230525,1
62101,20230425,1
62101,20230424,1
62101,20230427,1
62101,20230421,1
62101,20230420,1
62101,20230502,1
62101,20230428,1
62101,20230504,1
62101,20230523,1
62101,20230609,1
62101,20230608,1
62101,20230526,1
62101,20230501,1
62101,20230605,1
62101,20230529,1
62101,20230606,1
62101,20230601,1
62101,20230508,1
62101,20230602,1
152301_merged_13592004,20230707,1
152301_merged_13592004,20230630,1
152301_merged_13592004,20230825,1
152301_merged_13592004,20230721,1
152301_merged_13592004,20230811,1
152301_merged_13592004,20230728,1
152301_merged_13592004,20230714,1
152301_merged_13592004,20230804,1
152301_merged_13592004,20230818,1
152301_merged_13592004,20230901,1
1201_merged_13591996,20230707,1
1201_merged_13591996,20230630,1
1201_merged_13591996,20230825,1
1201_merged_13591996,20230721,1
1201_merged_13591996,20230811,1
1201_merged_13591996,20230728,1
1201_merged_13591996,20230714,1
1201_merged_13591996,20230804,1
1201_merged_13591996,20230818,1
1201_merged_13591996,20230901,1
155302,20230902,1
155302,20230826,1
155303,20230903,1
155303,20230807,1
155303,20230827,1
3_merged_13592001,20230807,1
3_merged_13592001,20230701,1
155203,20230716,1
155203,20230701,1
155203,20230702,1
155203,20230820,1
155203,20230709,1
155203,20230813,1
155203,20230806,1
155203,20230723,1
155203,20230730,1
1901,20230512,1
1901,20230623,1
1901,20230622,1
1901,20230620,1
1901,20230519,1
1901,20230518,1
1901,20230418,1
1901,20230511,1
1901,20230417,1
1901,20230515,1
1901,20230516,1
1901,20230530,1
1901,20230612,1
1901,20230613,1
1901,20230616,1
1901,20230615,1
1901,20230505,1
1901,20230619,1
1901,20230509,1
1901,20230525,1
1901,20230425,1
1901,20230424,1
1901,20230427,1
1901,20230421,1
1901,20230420,1
1901,20230502,1
1901,20230428,1
1901,20230504,1
1901,20230523,1
1901,20230609,1
1901,20230608,1
1901,20230526,1
1901,20230501,1
1901,20230605,1
1901,20230529,1
1901,20230606,1
1901,20230601,1
1901,20230508,1
1901,20230602,1
75401,20230519,1
75401,20230421,1
75401,20230512,1
75401,20230428,1
75401,20230505,1
75401,20230609,1
75401,20230526,1
75401,20230623,1
75401,20230616,1
75401,20230602,1
253403_merged_13591982,20230430,1
253403_merged_13591982,20230423,1
253403_merged_13591982,20230507,1
253403_merged_13591982,20230514,1
253403_merged_13591982,20230521,1
253403_merged_13591982,20230618,1
253403_merged_13591982,20230625,1
253403_merged_13591982,20230528,1
253403_merged_13591982,20230604,1
253403_merged_13591982,20230611,1
1101_merged_13591993,20230503,1
1101_merged_13591993,20230622,1
1101_merged_13591993,20230621,1
1101_merged_13591993,20230620,1
1101_merged_13591993,20230518,1
1101_merged_13591993,20230418,1
1101_merged_13591993,20230419,1
1101_merged_13591993,20230511,1
1101_merged_13591993,20230510,1
1101_merged_13591993,20230417,1
1101_merged_13591993,20230515,1
1101_merged_13591993,20230517,1
1101_merged_13591993,20230516,1
1101_merged_13591993,20230531,1
1101_merged_13591993,20230530,1
1101_merged_13591993,20230612,1
1101_merged_13591993,20230613,1
1101_merged_13591993,20230614,1
1101_merged_13591993,20230615,1
1101_merged_13591993,20230619,1
1101_merged_13591993,20230525,1
1101_merged_13591993,20230425,1
1101_merged_13591993,20230424,1
1101_merged_13591993,20230427,1
1101_merged_13591993,20230426,1
1101_merged_13591993,20230502,1
1101_merged_13591993,20230420,1
1101_merged_13591993,20230504,1
1101_merged_13591993,20230523,1
1101_merged_13591993,20230524,1
1101_merged_13591993,20230608,1
1101_merged_13591993,20230501,1
1101_merged_13591993,20230605,1
1101_merged_13591993,20230529,1
1101_merged_13591993,20230607,1
1101_merged_13591993,20230606,1
1101_merged_13591993,20230601,1
1101_merged_13591993,20230508,1
1101_merged_13591993,20230509,1
155202,20230715,1
155202,20230729,1
155202,20230805,1
155202,20230722,1
155202,20230819,1
155202,20230708,1
155202,20230812,1
1201_merged_13591979,20230519,1
1201_merged_13591979,20230421,1
1201_merged_13591979,20230512,1
1201_merged_13591979,20230428,1
1201_merged_13591979,20230505,1
1201_merged_13591979,20230609,1
1201_merged_13591979,20230526,1
1201_merged_13591979,20230623,1
1201_merged_13591979,20230616,1
1201_merged_13591979,20230602,1
32603_merged_13591995,20230716,1
32603_merged_13591995,20230701,1
32603_merged_13591995,20230702,1
32603_merged_13591995,20230820,1
32603_merged_13591995,20230709,1
32603_merged_13591995,20230827,1
32603_merged_13591995,20230813,1
32603_merged_13591995,20230807,1
32603_merged_13591995,20230723,1
32603_merged_13591995,20230730,1
3_merged_13591984,20230522,1
155601_merged_13592011,20230627,1
155601_merged_13592011,20230626,1
155601_merged_13592011,20230706,1
155601_merged_13592011,20230707,1
155601_merged_13592011,20230816,1
155601_merged_13592011,20230705,1
155601_merged_13592011,20230821,1
155601_merged_13592011,20230823,1
155601_merged_13592011,20230822,1
155601_merged_13592011,20230825,1
155601_merged_13592011,20230824,1
155601_merged_13592011,20230629,1
155601_merged_13592011,20230628,1
155601_merged_13592011,20230803,1
155601_merged_13592011,20230802,1
155601_merged_13592011,20230801,1
155601_merged_13592011,20230804,1
155601_merged_13592011,20230630,1
155601_merged_13592011,20230809,1
155601_merged_13592011,20230808,1
155601_merged_13592011,20230901,1
155601_merged_13592011,20230725,1
155601_merged_13592011,20230731,1
155601_merged_13592011,20230717,1
155601_merged_13592011,20230714,1
155601_merged_13592011,20230713,1
155601_merged_13592011,20230712,1
155601_merged_13592011,20230711,1
155601_merged_13592011,20230710,1
155601_merged_13592011,20230829,1
155601_merged_13592011,20230718,1
155601_merged_13592011,20230810,1
155601_merged_13592011,20230811,1
155601_merged_13592011,20230814,1
155601_merged_13592011,20230719,1
155601_merged_13592011,20230830,1
155601_merged_13592011,20230817,1
155601_merged_13592011,20230818,1
155601_merged_13592011,20230704,1
155601_merged_13592011,20230828,1
155601_merged_13592011,20230831,1
155601_merged_13592011,20230728,1
155601_merged_13592011,20230720,1
155601_merged_13592011,20230721,1
155601_merged_13592011,20230726,1
155601_merged_13592011,20230727,1
155601_merged_13592011,20230724,1
155601_merged_13592011,20230815,1
118402,20230715,1
118402,20230708,1
118402,20230826,1
118402,20230722,1
118402,20230812,1
118402,20230729,1
118402,20230805,1
118402,20230902,1
118402,20230819,1
101,20230417,1
101,20230623,1
101,20230622,1
101,20230621,1
101,20230620,1
101,20230519,1
101,20230518,1
101,20230418,1
101,20230419,1
101,20230511,1
101,20230510,1
101,20230512,1
101,20230515,1
101,20230517,1
101,20230516,1
101,20230531,1
101,20230530,1
101,20230612,1
101,20230524,1
101,20230616,1
101,20230614,1
101,20230615,1
101,20230505,1
101,20230619,1
101,20230509,1
101,20230613,1
101,20230607,1
101,20230525,1
101,20230425,1
101,20230424,1
101,20230427,1
101,20230426,1
101,20230421,1
101,20230420,1
101,20230502,1
101,20230428,1
101,20230504,1
101,20230523,1
101,20230609,1
101,20230608,1
101,20230526,1
101,20230501,1
101,20230605,1
101,20230529,1
