block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_2061427,0,6748,0,1,640 Ladner Exchange,283134,3_merged_13592001,13515218,
b_2061430,0,6748,0,1,640 Ladner Exchange,283134,3_merged_13592001,13515219,
b_2062426,0,6799,0,0,743 Haney Place,283165,3_merged_13592001,13516096,
b_2061429,0,6748,0,0,640 Scott Rd Station,283129,3_merged_13592001,13515214,
b_2061430,0,6748,0,0,640 Scott Rd Station,283129,3_merged_13592001,13515215,
b_2061382,0,6748,0,0,640 Scott Rd Station,283129,3_merged_13592001,13515216,
b_2061382,0,6748,0,1,640 Ladner Exchange,283134,3_merged_13592001,13515217,
b_2061427,0,6748,0,0,640 Scott Rd Station,283129,3_merged_13592001,13515210,
b_2061428,0,6748,0,0,640 Scott Rd Station,283129,3_merged_13592001,13515211,
b_2061427,0,6748,0,0,640 Scott Rd Station,283129,3_merged_13592001,13515212,
b_2061426,0,6748,0,0,640 Scott Rd Station,283129,3_merged_13592001,13515213,
b_2060734,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487607,
b_2060733,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487606,
b_2060734,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487605,
b_2060733,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487604,
b_2060734,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487603,
b_2060733,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487602,
b_2060733,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487601,
b_2060733,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487600,
b_2062426,0,6799,0,0,743 Haney Place,283165,3_merged_13592001,13516093,
b_2060733,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487609,
b_2060734,0,6659,0,1,151 Como Lake Ave to Burquitlam Station,282523,2_merged_13592002,13487608,
b_2060799,0,6663,0,0,155 Braid Station via Hospital,282536,3_merged_13592001,13488309,
a_2057548,0,6771,0,1,SeaBus Southbound To Waterfront,281998,3_merged_13591984,13457758,
a_2057548,0,6771,0,1,SeaBus Southbound To Waterfront,281998,3_merged_13591984,13457759,
b_2062495,0,13686,0,1,Canada Line To Richmond-Brighouse,283224,3_merged_13592001,13518098,
b_2059791,0,6623,0,0,17 Downtown,282275,3_merged_13592001,13472206,
b_2062426,0,6799,0,1,743 South Haney,283167,3_merged_13592001,13516098,
a_2057548,0,6771,0,1,SeaBus Southbound To Waterfront,281998,3_merged_13591984,13457756,
a_2058588,0,6706,0,0,323 128 St to Surrey Central,281572,1_merged_13591983,13438138,
a_2055481,0,30038,0,0,172 To Ottawa,281297,101,13426099,
b_2060459,0,9745,0,1,418 Kingswood,283024,1_merged_13592000,13511084,
b_2060876,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492366,
b_2060898,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492367,
b_2060865,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492364,
b_2060878,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492365,
b_2060887,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492362,
b_2060918,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492363,
b_2060900,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492360,
b_2060878,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492361,
b_2060619,0,6649,0,1,123 Brentwood Station,282459,3_merged_13592001,13484048,
b_2060865,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492368,
b_2060864,0,30050,0,0,187 Parkway,282596,1_merged_13592000,13492369,
